vesslterms,feature_type,chart,latdec,longdec,depth,histroy,quasou,watlev,coordinates
,Wrecks - Visible,"US,US,graph,Chart 12281",39.2713811,,,,,always dry,"[-76.624896,39.2713811]"
,Wrecks - Visible,"US,US,graph,Chart 12278",39.2455272,,,,,always dry,"[-76.1903706,39.2455272]"
,Wrecks - Visible,"US,US,graph,Chart 12278",39.1417839,,,,,always dry,"[-76.186389,39.1417839]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12278",39.2876756,,,,depth unknown,always under water/submerged,"[-76.4096182,39.2876756]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.1520903,,,,depth unknown,always under water/submerged,"[-76.5129938,39.1520903]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12278",39.1502897,,,,depth unknown,always under water/submerged,"[-76.5138734,39.1502897]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12270",38.808422,,,,depth unknown,always under water/submerged,"[-76.316334,38.808422]"
,"Wrecks - Submerged, nondangerous","US,US,reprt,DD-14719",38.8604373,,21.6,,value reported (not confirmed),always under water/submerged,"[-76.3951978,38.8604373]"
,"Wrecks - Submerged, nondangerous","US,US,reprt,DD-14719",38.9288235,,28.6,,value reported (not confirmed),always under water/submerged,"[-76.3867162,38.9288235]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.448583,,,,depth unknown,always under water/submerged,"[-76.2777,39.448583]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.335098,,,,depth unknown,always under water/submerged,"[-76.138744,39.335098]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.438983,,,,depth unknown,always under water/submerged,"[-76.074245,39.438983]"
,Wrecks - Visible,"US,US,graph,Chart 12274",39.550193,,,,,always dry,"[-76.003765,39.550193]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.448743,,,,depth unknown,always under water/submerged,"[-75.975399,39.448743]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12274",39.434369,,,,depth unknown,always under water/submerged,"[-76.247798,39.434369]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.687587,,,,depth unknown,always under water/submerged,"[-76.527812,38.687587]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.5111621,,,,depth unknown,always under water/submerged,"[-76.3514854,38.5111621]"
,Wrecks - Visible,"US,US,graph,Chart 12266",38.689339,,,,,always dry,"[-76.332621,38.689339]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.575503,,8.2,,least depth known,always under water/submerged,"[-76.3728209,38.575503]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.5835425,,,,depth unknown,always under water/submerged,"[-76.4783125,38.5835425]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12266",38.7031233,,18.2,,least depth known,always under water/submerged,"[-76.424537,38.7031233]"
,"Wrecks - Submerged, dangerous","US,US,reprt,DD-14719",38.9874927,,15.5,,value reported (not confirmed),always under water/submerged,"[-76.3806367,38.9874927]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12261",38.304247,,,,depth unknown,always under water/submerged,"[-76.181851,38.304247]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13244",41.552754,,6.4,,least depth known,always under water/submerged,"[-69.902514,41.552754]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13244",41.570003,,,,depth unknown,always under water/submerged,"[-69.94329,41.570003]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13244",41.522788,,7,,least depth known,always under water/submerged,"[-69.992258,41.522788]"
