vesslterms,feature_type,chart,latdec,longdec,depth,histroy,quasou,watlev,coordinates
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11346",29.0877301,,,,depth unknown,always under water/submerged,"[-90.2337061,29.0877301]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11367",29.6592162,,,,depth unknown,always under water/submerged,"[-90.1105397,29.6592162]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11367",30.0708352,,,,depth unknown,always under water/submerged,"[-89.8149313,30.0708352]"
,Wrecks - Visible,"US,US,graph,Chart 11367",30.1148708,,,,,covers and uncovers,"[-89.6987027,30.1148708]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11367",30.1615335,,,,depth unknown,always under water/submerged,"[-89.7036631,30.1615335]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11368",29.9547222,,12.1,,least depth known,always under water/submerged,"[-90.0386113,29.9547222]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11368",29.9985654,,,,depth unknown,always under water/submerged,"[-90.0247897,29.9985654]"
,Wrecks - Visible,"US,US,graph,Chart 11365",29.271997,,,,,always dry,"[-90.071803,29.271997]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11365",29.496926,,,,depth unknown,always under water/submerged,"[-90.019813,29.496926]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 11370",29.93419,,,,depth unknown,always under water/submerged,"[-90.1858964,29.93419]"
,Wrecks - Visible,"US,US,graph,Chart 12231",38.063593,,,,,always dry,"[-76.008239,38.063593]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12233",38.186838,,,,depth unknown,always under water/submerged,"[-76.298322,38.186838]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12248",37.1966411,,,,depth unknown,always under water/submerged,"[-76.7364635,37.1966411]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12248",37.1895037,,,,depth unknown,always under water/submerged,"[-76.7397402,37.1895037]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12238",37.304209,,,,depth unknown,always under water/submerged,"[-76.464641,37.304209]"
,"Wrecks - Submerged, dangerous","US,US,reprt,L-1988/02",38.016923,,,,depth unknown,always under water/submerged,"[-76.574084,38.016923]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12233",37.903421,,,,depth unknown,always under water/submerged,"[-76.2711846,37.903421]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12252",37.3835369,,,,depth unknown,always under water/submerged,"[-77.3028992,37.3835369]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12235",37.716982,,,,depth unknown,always under water/submerged,"[-76.453315,37.716982]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12244",37.536835,,,,depth unknown,always under water/submerged,"[-76.793032,37.536835]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12244",37.535311,,,,depth unknown,always under water/submerged,"[-76.79348,37.535311]"
,Wrecks - Visible,"US,US,graph,Chart 12237",37.806588,,,,,always dry,"[-76.63804,37.806588]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 14784",43.7397225,,,,,always under water/submerged,"[-73.3670453,43.7397225]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 14785",44.468129,,,,,always under water/submerged,"[-73.218045,44.468129]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18447",47.62691,,3.3,,least depth known,always under water/submerged,"[-122.338192,47.62691]"
,Wrecks - Visible,"US,US,graph,chart 18473",47.8931763,,,,,always dry,"[-122.3287722,47.8931763]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-11826",47.42745,,16.7,,least depth known,always under water/submerged,"[-122.3523333,47.42745]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18477",47.959643,,,,depth unknown,always under water/submerged,"[-122.677258,47.959643]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18477",47.957218,,,,depth unknown,always under water/submerged,"[-122.675468,47.957218]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-11642",47.2952135,,16.1,,least depth known,always under water/submerged,"[-122.4224658,47.2952135]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18453",47.2956991,,6,,least depth known,always under water/submerged,"[-122.4234844,47.2956991]"
,Wrecks - Visible,"US,US,graph,Chart 18429",48.456745,,,,,always dry,"[-122.844472,48.456745]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18504",46.538347,,,,depth unknown,covers and uncovers,"[-124.060791,46.538347]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18504",46.684244,,,,depth unknown,always under water/submerged,"[-123.992748,46.684244]"
,Wrecks - Visible,"US,US,graph,Chart 14917",45.1004397,,,,,always dry,"[-87.6139262,45.1004397]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 16709",60.207202,,,,depth unknown,always under water/submerged,"[-146.718322,60.207202]"
,Wrecks - Visible,"US,US,graph,Chart 16535",54.6644873,,,,,always dry,"[-163.1059528,54.6644873]"
,Wrecks - Visible,"US,US,graph,Chart 16531",54.2100017,,,,,always dry,"[-165.4845467,54.2100017]"
,"Wrecks - Submerged, dangerous","US,US,reprt,8thcGD,LNM 46/11",29.8106944,,,,depth unknown,always under water/submerged,"[-91.5520278,29.8106944]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11339",29.757404,,,,depth unknown,always under water/submerged,"[-93.382087,29.757404]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11339",29.768521,,,,depth unknown,always under water/submerged,"[-93.346807,29.768521]"
,Wrecks - Visible,"US,US,reprt,DD-4869",29.688206,,,,,always dry,"[-91.099685,29.688206]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11353",29.5788455,,,,depth unknown,always under water/submerged,"[-89.2650347,29.5788455]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 11368",29.9334994,,35,,least depth known,always under water/submerged,"[-90.0573885,29.9334994]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11368",29.9351934,,18.5,,least depth known,always under water/submerged,"[-90.0552225,29.9351934]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11365",29.629459,,,,depth unknown,always under water/submerged,"[-90.088092,29.629459]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13281",42.610191,,3.9,,least depth known,always under water/submerged,"[-70.65839,42.610191]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13270",42.3546909,,7.6,,least depth known,always under water/submerged,"[-70.8959227,42.3546909]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12231",38.128984,,,,depth unknown,always under water/submerged,"[-76.108852,38.128984]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12233",38.1311314,,,,depth unknown,always under water/submerged,"[-76.4608969,38.1311314]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12233",38.1206644,,0.3,,value reported (not confirmed),always under water/submerged,"[-76.3924036,38.1206644]"
,Wrecks - Visible,"US,US,graph,Chart 12248",37.0308224,,,,,always dry,"[-76.5134053,37.0308224]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12233",38.003473,,,,depth unknown,always under water/submerged,"[-76.565121,38.003473]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12233",37.957407,,,,depth unknown,always under water/submerged,"[-76.480916,37.957407]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12252",37.475703,,,,depth unknown,always under water/submerged,"[-77.4220294,37.475703]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12252",37.3763193,,6,,value reported (not surveyed),always under water/submerged,"[-77.3589466,37.3763193]"
,Wrecks - Visible,"US,US,graph,Chart 12252",37.3133224,,,,,always dry,"[-77.2391965,37.3133224]"
,Wrecks - Visible,"US,US,graph,Chart 12252",37.375125,,,,depth unknown,covers and uncovers,"[-77.2749583,37.375125]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12235",37.82273,,,,depth unknown,always under water/submerged,"[-76.275732,37.82273]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12235",37.747141,,,,depth unknown,always under water/submerged,"[-76.341283,37.747141]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12235",37.624517,,,,depth unknown,always under water/submerged,"[-76.362753,37.624517]"
,Wrecks - Visible,"US,US,graph,Chart 12244",37.523349,,,,,always dry,"[-76.867584,37.523349]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12237",37.82549,,,,depth unknown,always under water/submerged,"[-76.732307,37.82549]"
,Wrecks - Visible,"US,US,graph,Chart 12237",37.6777948,,,,,always dry,"[-76.6114417,37.6777948]"
,"Wrecks - Submerged, dangerous","US,US,graph,BP-191097,H-11293",47.6649853,,14.3,,least depth known,always under water/submerged,"[-122.2598464,47.6649853]"
,"Wrecks - Submerged, dangerous","US,US,graph,BP-191097,H-11293",47.6463583,,3.6,,least depth known,always under water/submerged,"[-122.2331056,47.6463583]"
,"Wrecks - Submerged, nondangerous","US,US,graph,H-12024",47.6738639,,20.4,,least depth known,always under water/submerged,"[-122.4226251,47.6738639]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18474",47.3628205,,12.1,,least depth known,always under water/submerged,"[-122.4397898,47.3628205]"
,"Wrecks - Submerged, dangerous","US,US,reprt,13thCGD,LNM 17/07",48.5803078,,,,depth unknown,always under water/submerged,"[-122.9350203,48.5803078]"
,"Wrecks - Submerged, nondangerous","US,US,reprt,13thCGD,LNM 34/10",48.4388056,,,,depth unknown,always under water/submerged,"[-123.0031389,48.4388056]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18434",48.5289711,,5.7,,least depth known,always under water/submerged,"[-123.0014356,48.5289711]"
,Wrecks - Visible,"US,US,reprt,L-44/06",46.9647399,,,,,always dry,"[-123.8198446,46.9647399]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 14918",44.4964393,,,,,always under water/submerged,"[-88.0261923,44.4964393]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 14909",45.0592793,,,,,always under water/submerged,"[-87.1168138,45.0592793]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16594",57.8494791,,,,depth unknown,always under water/submerged,"[-152.2151267,57.8494791]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 16471",52.140484,,,,depth unknown,always under water/submerged,"[-176.525898,52.140484]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11350",29.8181258,,,,depth unknown,always under water/submerged,"[-91.929953,29.8181258]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11350",29.7951217,,,,depth unknown,always under water/submerged,"[-92.1392923,29.7951217]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11339",29.835482,,,,depth unknown,always under water/submerged,"[-93.331564,29.835482]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11339",29.933551,,,,depth unknown,always under water/submerged,"[-93.300146,29.933551]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11339",30.075206,,,,depth unknown,always under water/submerged,"[-93.316088,30.075206]"
,Wrecks - Visible,"US,US,graph,GC-10907",29.7856439,,,,,covers and uncovers,"[-93.3291074,29.7856439]"
,Wrecks - Visible,"US,US,reprt,DD-9994,H-11364",29.6847456,,,,,always dry,"[-91.2177083,29.6847456]"
,Wrecks - Visible,"US,US,graph,Chart 11355",29.713732,,,,,always dry,"[-91.258844,29.713732]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11355",29.678381,,,,depth unknown,always under water/submerged,"[-91.140718,29.678381]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11353",29.4935148,,6,,value reported (not confirmed),always under water/submerged,"[-89.1306758,29.4935148]"
,distributed remains of wreck,"US,US,graph,Chart 11353",29.4754535,,,,depth unknown,always under water/submerged,"[-89.1499339,29.4754535]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11353",29.423357,,,,depth unknown,always under water/submerged,"[-89.166979,29.423357]"
,Wrecks - Visible,"US,US,graph,Chart 11355",29.523433,,,,,always dry,"[-90.706742,29.523433]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 11361",28.888727,,7.6,,least depth known,always under water/submerged,"[-89.4372537,28.888727]"
,"Wrecks - Submerged, dangerous","US,US,reprt,H-11616",30.1746003,,,,depth unknown,always under water/submerged,"[-89.4513119,30.1746003]"
,Wrecks - Visible,"US,US,reprt,8thCGD,LNM 49/14",30.1791667,,,,,covers and uncovers,"[-89.6094444,30.1791667]"
,"Wrecks - Submerged, dangerous","US,US,reprt,DD-9537",29.4566083,,,,depth unknown,always under water/submerged,"[-90.0565528,29.4566083]"
,Wrecks - Visible,"US,US,graph,Chart 11365",29.2405197,,,,,always dry,"[-90.0193556,29.2405197]"
,"Wrecks - Submerged, dangerous","US,US,graph,chart 11370",30.1136049,,,,depth unknown,always under water/submerged,"[-90.9803486,30.1136049]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12238",37.301573,,,,depth unknown,always under water/submerged,"[-76.400784,37.301573]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12233",38.003293,,13.1,,least depth known,always under water/submerged,"[-76.332939,38.003293]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12235",37.8409143,,,,depth unknown,always under water/submerged,"[-76.2883166,37.8409143]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12235",37.535212,,5.4,,least depth known,always under water/submerged,"[-76.369528,37.535212]"
,Wrecks - Visible,"US,US,graph,Chart 12251",37.2333158,,,,,always dry,"[-76.9317898,37.2333158]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 12244",37.606493,,,,depth unknown,covers and uncovers,"[-77.092489,37.606493]"
,Wrecks - Visible,"US,US,graph,Chart 12244",37.724331,,,,,always dry,"[-77.021522,37.724331]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12237",37.619184,,,,depth unknown,always under water/submerged,"[-76.579129,37.619184]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 14783",44.326962,,,,,always under water/submerged,"[-73.34627,44.326962]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 14784",43.6071872,,,,,always under water/submerged,"[-73.4219998,43.6071872]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 14785",44.465502,,,,,always under water/submerged,"[-73.21793,44.465502]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18446",47.6932533,,2.1,,least depth known,always under water/submerged,"[-122.5677265,47.6932533]"
,"Wrecks - Submerged, dangerous","US,US,graph,BP-191097,H-11293",47.6556368,,6,,least depth known,always under water/submerged,"[-122.210687,47.6556368]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-12025,DD-18551",47.5813858,,6.4,,least depth known,always under water/submerged,"[-122.4798352,47.5813858]"
,Wrecks - Visible,"US,US,graph,Chart 18449",47.624647,,,,,always dry,"[-122.534538,47.624647]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-11551",47.3969279,,2.7,,least depth known,always under water/submerged,"[-122.4621815,47.3969279]"
,Wrecks - Visible,"US,US,graph,Chart 18464",48.069428,,-1.2,,least depth known,covers and uncovers,"[-122.7408169,48.069428]"
,"Wrecks - Submerged, dangerous","US,US,graph,Bp189031",46.7583861,,3.3,,,always under water/submerged,"[-92.1040319,46.7583861]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 14924",42.9975428,,,,depth unknown,always under water/submerged,"[-87.8569766,42.9975428]"
,Wrecks - Visible,"US,US,reprt,L-246-2015",18.1349831,,,,,always dry,"[-73.5883484,18.1349831]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17316",58.3947746,,7.6,,least depth known,always under water/submerged,"[-134.7812187,58.3947746]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17317",59.2965026,,,,depth unknown,covers and uncovers,"[-135.4170909,59.2965026]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 17382",56.1890682,,10,,least depth known,always under water/submerged,"[-132.4327054,56.1890682]"
,Wrecks - Visible,"US,US,graph,Chart 16549",54.8556782,,,,,always dry,"[-162.5269021,54.8556782]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 16531",54.3792787,,,,depth unknown,always under water/submerged,"[-165.6400759,54.3792787]"
,Wrecks - Visible,"US,US,graph,Chart 11355",29.7248509,,,,,always dry,"[-91.2304516,29.7248509]"
,"Wrecks - Submerged, dangerous","US,US,graph,HS-00141 (NWID: 18607), OPR-J977-TE-08 x-ref: D-00142 & DD-16224.",29.4766778,,,,depth unknown,always under water/submerged,"[-89.3167028,29.4766778]"
,"Wrecks - Submerged, dangerous","US,US,reprt,8thCGD,LNM 14/11",28.9944564,,,,depth unknown,always under water/submerged,"[-89.1416622,28.9944564]"
Shrimp Boat,"Wrecks - Submerged, dangerous","US,US,reprt,8thCGD,LNM 44/02",28.989998,,,,depth unknown,always under water/submerged,"[-89.138332,28.989998]"
,Wrecks - Visible,"US,US,graph,Chart 11367",29.7611339,,,,,always dry,"[-90.1056265,29.7611339]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11367",30.1055586,,,,depth unknown,always under water/submerged,"[-89.7919242,30.1055586]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11367",30.1474571,,2.7,,least depth known,always under water/submerged,"[-89.5940727,30.1474571]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-11616",30.2421142,,,,,always under water/submerged,"[-89.3816503,30.2421142]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11368",29.9999997,,,,depth unknown,always under water/submerged,"[-89.9835856,29.9999997]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11365",29.360187,,,,depth unknown,always under water/submerged,"[-89.99616,29.360187]"
,"Wrecks - Submerged, dangerous","US,US,reprt,L-265/05",42.382995,,,,,covers and uncovers,"[-71.0284763,42.382995]"
,Wrecks - Visible,"US,US,graph,Chart 13272",42.3853809,,,,,always dry,"[-71.0321231,42.3853809]"
,Wrecks - Visible,"US,US,graph,Chart 12248",37.2104377,,,,,always dry,"[-76.7453091,37.2104377]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12233",38.005162,,12.4,,least depth known,always under water/submerged,"[-76.332777,38.005162]"
,Wrecks - Visible,"US,US,graph,Chart 12252",37.3110793,,,,,always dry,"[-77.2432095,37.3110793]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12235",37.828075,,,,depth unknown,always under water/submerged,"[-76.28348,37.828075]"
,Wrecks - Visible,"US,US,graph,Chart 12235",37.70234,,,,,always dry,"[-76.318326,37.70234]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12235",37.538887,,,,depth unknown,always under water/submerged,"[-76.494887,37.538887]"
,Wrecks - Visible,"US,US,graph,Chart 12251",37.235665,,,,,always dry,"[-76.934866,37.235665]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12241",37.2654448,,,,depth unknown,always under water/submerged,"[-76.511533,37.2654448]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12237",37.873525,,,,depth unknown,always under water/submerged,"[-76.746931,37.873525]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18447",47.5768802,,11.8,,least depth known,always under water/submerged,"[-122.196899,47.5768802]"
,"Wrecks - Submerged, dangerous","US,US,graph,BP-191097,H-11293",47.6636314,,5.7,,least depth known,always under water/submerged,"[-122.2093372,47.6636314]"
,"Wrecks - Submerged, nondangerous","US,US,graph,BP-191097,H-11293",47.6565122,,39.3,,least depth known,always under water/submerged,"[-122.2523603,47.6565122]"
,Wrecks - Visible,"US,US,graph,Chart 18449",47.570754,,,,,always dry,"[-122.582573,47.570754]"
,Wrecks - Visible,"US,US,graph,Chart 18450",47.511085,,,,,always dry,"[-122.3016682,47.511085]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-11826",47.4109,,9.1,,least depth known,always under water/submerged,"[-122.3429167,47.4109]"
,"Wrecks - Submerged, dangerous","US,US,graph,GC-10683, DD-10885(CEF)",47.2742804,,,,depth unknown,covers and uncovers,"[-122.3798474,47.2742804]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 14924",43.0080426,,,,depth unknown,always under water/submerged,"[-87.9141147,43.0080426]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 16681",59.466064,,,,depth unknown,always under water/submerged,"[-150.169085,59.466064]"
,Wrecks - Visible,"US,US,graph,Chart 16323",58.7227672,,,,,always dry,"[-157.0178388,58.7227672]"
,Wrecks - Visible,"US,US,graph,GC-10489",58.2655436,,,,,always dry,"[-153.0952183,58.2655436]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11350",29.8368002,,,,depth unknown,always under water/submerged,"[-91.8302363,29.8368002]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11339",29.760822,,,,depth unknown,always under water/submerged,"[-93.323607,29.760822]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11355",29.74482,,,,depth unknown,always under water/submerged,"[-91.239353,29.74482]"
,Wrecks - Visible,"US,US,graph,Chart 11355",29.724651,,,,,always dry,"[-91.319231,29.724651]"
,Wrecks - Visible,"US,US,graph,Chart 11355",29.725309,,,,,always dry,"[-91.304955,29.725309]"
,Wrecks - Visible,"US,US,graph,Chart 11355",29.734937,,,,,always dry,"[-91.174316,29.734937]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11353",29.4927947,,,,depth unknown,always under water/submerged,"[-89.1275163,29.4927947]"
,Wrecks - Visible,"US,US,graph,Chart 11355",29.6145002,,,,,always dry,"[-90.699646,29.6145002]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11355",29.4345044,,,,depth unknown,always under water/submerged,"[-90.7216836,29.4345044]"
,Wrecks - Visible,"US,US,graph,Chart 11367",29.8456279,,,,,always dry,"[-90.0301531,29.8456279]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11367",30.1469852,,,,depth unknown,always under water/submerged,"[-89.7867337,30.1469852]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11365",29.505168,,,,depth unknown,always under water/submerged,"[-90.066571,29.505168]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 13279",42.5723641,,21.6,,least depth known,always under water/submerged,"[-70.6714554,42.5723641]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 13270",42.3406314,,10.6,,least depth known,always under water/submerged,"[-70.9032311,42.3406314]"
,"Wrecks - Submerged, dangerous","US,US,graph,BP-183529",42.3809281,,5.1,,least depth known,always under water/submerged,"[-71.0056321,42.3809281]"
,Wrecks - Visible,"US,US,graph,Chart 12231",38.040345,,,,,always dry,"[-76.154905,38.040345]"
,"Wrecks - Submerged, dangerous","US,US,graph,H12239",38.0890476,,12.8,,least depth known,always under water/submerged,"[-76.2501379,38.0890476]"
,Wrecks - Visible,"US,US,graph,Chart 12238",37.3289969,,,,,always dry,"[-76.2956217,37.3289969]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12248",37.0601543,,1.2,,value reported (not confirmed),always under water/submerged,"[-76.5356564,37.0601543]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12233",38.0029254,,,,depth unknown,always under water/submerged,"[-76.546162,38.0029254]"
,"Wrecks - Submerged, dangerous","US,US,graph,HS-12238",37.9145278,,9.7,,least depth known,always under water/submerged,"[-76.2126111,37.9145278]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12235",37.612778,,,,depth unknown,always under water/submerged,"[-76.506199,37.612778]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12235",37.497861,,,,depth unknown,always under water/submerged,"[-76.291158,37.497861]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12235",37.703475,,,,depth unknown,always under water/submerged,"[-76.486789,37.703475]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12235",37.650532,,,,depth unknown,always under water/submerged,"[-76.420625,37.650532]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 12251",37.399818,,,,depth unknown,always under water/submerged,"[-76.909701,37.399818]"
,Wrecks - Visible,"US,US,graph,Chart 12251",37.237028,,,,,always dry,"[-76.940848,37.237028]"
,Wrecks - Visible,"US,US,graph,Chart 12251",37.233898,,,,,always dry,"[-76.932721,37.233898]"
,Wrecks - Visible,"US,US,graph,Chart 12241",37.2660758,,,,,always dry,"[-76.4898284,37.2660758]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 14783",44.235965,,,,,always under water/submerged,"[-73.333664,44.235965]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 14785",44.465173,,,,,always under water/submerged,"[-73.21775,44.465173]"
,"Wrecks - Submerged, nondangerous","US,US,graph,BP-191097,H-11293",47.6887195,,42.9,,least depth known,always under water/submerged,"[-122.2448815,47.6887195]"
,"Wrecks - Submerged, dangerous","US,US,reprt,H-11292,BP-190937",47.7374028,,15.5,,least depth known,always under water/submerged,"[-122.2695622,47.7374028]"
,"Wrecks - Submerged, nondangerous","US,US,graph,BP-191097,H-11293",47.6656431,,53.6,,least depth known,always under water/submerged,"[-122.2387764,47.6656431]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18449",47.6397618,,7.3,,least depth known,always under water/submerged,"[-122.5979251,47.6397618]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 18449",47.593917,,,,depth unknown,covers and uncovers,"[-122.506573,47.593917]"
,Wrecks - Visible,"US,US,graph,Chart 18450",47.521179,,,,,always dry,"[-122.3082175,47.521179]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 18450",47.5967712,,63,,least depth known,always under water/submerged,"[-122.3515422,47.5967712]"
,"Wrecks - Submerged, dangerous","US,US,graph,H-11551",47.3753935,,7.6,,least depth known,always under water/submerged,"[-122.4594106,47.3753935]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18474",47.3377778,,,,depth unknown,always under water/submerged,"[-122.5869444,47.3377778]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18477",47.9206602,,7.3,,least depth known,always under water/submerged,"[-122.6915859,47.9206602]"
,"Wrecks - Submerged, dangerous","US,US,graph,H12626",48.442405,,13.6,,least depth known,always under water/submerged,"[-122.880855,48.442405]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 18502",46.982026,,,,depth unknown,always under water/submerged,"[-123.88445,46.982026]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 14904",42.5907106,,,,depth unknown,always under water/submerged,"[-87.8190532,42.5907106]"
,Wrecks - Visible,"US,US,reprt,H-10933",60.2275017,,,,,always dry,"[-147.7062762,60.2275017]"
,"Wrecks - Submerged, dangerous","US,US,graph,BP-187057",60.0113861,,4.5,,least depth known,always under water/submerged,"[-149.2910611,60.0113861]"
,"Wrecks - Submerged, nondangerous","US,US,graph,Chart 16590",57.0491495,,,,depth unknown,always under water/submerged,"[-153.9352997,57.0491495]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 16590",56.7251566,,,,depth unknown,always under water/submerged,"[-153.9824119,56.7251566]"
,Wrecks - Visible,"US,US,graph,Chart 16641",51.934601,,,,,always dry,"[177.455761,51.934601]"
,Wrecks - Visible,"US,US,graph,Chart 16322",58.8311722,,,,,always dry,"[-158.5730505,58.8311722]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11376",30.235708,,,,depth unknown,always under water/submerged,"[-87.75942,30.235708]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11453",24.689113,,,,depth unknown,always under water/submerged,"[-81.086345,24.689113]"
,"Wrecks - Submerged, dangerous","US,US,graph,Chart 11445",24.550272,,,,depth unknown,always under water/submerged,"[-81.466695,24.550272]"
,Wrecks - Visible,"US,US,graph,Chart 11453",24.7016403,,,,,always dry,"[-81.0900392,24.7016403]"
